,estacao,datahora,wspd,wdir,gust,tar,prp,neb,cld,cldcb,vis,tp,datazulu
190,SBMY,2024-12-22 08:00:00,4,155,8,25,0.9,20,BKN,n,4000,BR,2024-12-22 12:00:00
191,SBMY,2024-12-22 11:00:00,3,128,15,27,0.3,19,BKN,n,4000,BR,2024-12-22 15:00:00
192,SBMY,2024-12-22 14:00:00,1,113,12,29,0.3,14,BKN,s,7000,TS,2024-12-22 18:00:00
193,SBMY,2024-12-22 17:00:00,4,57,16,27,2.9,21,BKN,s,7000,TS,2024-12-22 21:00:00
194,SBMY,2024-12-22 20:00:00,2,129,9,25,,1,CAVOK,n,9999,,2024-12-23 00:00:00
195,SBMY,2024-12-22 23:00:00,3,169,7,25,,2,FEW,n,9999,,2024-12-23 03:00:00
196,SBMY,2024-12-23 02:00:00,3,188,7,24,,3,SCT,n,9999,,2024-12-23 06:00:00
197,SBMY,2024-12-23 05:00:00,3,179,7,24,,4,SCT,n,9999,,2024-12-23 09:00:00
198,SBMY,2024-12-23 08:00:00,4,140,10,26,,3,SCT,n,9999,,2024-12-23 12:00:00
199,SBMY,2024-12-23 11:00:00,3,67,11,31,0.2,18,SCT,n,7000,,2024-12-23 15:00:00
200,SBMY,2024-12-23 14:00:00,3,49,12,33,,2,FEW,n,9999,,2024-12-23 18:00:00
201,SBMY,2024-12-23 17:00:00,4,37,13,28,1,21,BKN,s,7000,TS,2024-12-23 21:00:00
202,SBMY,2024-12-23 20:00:00,2,76,9,26,,1,CAVOK,n,9999,,2024-12-24 00:00:00
203,SBMY,2024-12-23 23:00:00,1,91,4,25,,1,CAVOK,n,9999,,2024-12-24 03:00:00
204,SBMY,2024-12-24 02:00:00,3,222,14,24,2.1,21,BKN,s,7000,TS,2024-12-24 06:00:00
205,SBMY,2024-12-24 05:00:00,3,232,9,24,,4,SCT,n,9999,,2024-12-24 09:00:00
206,SBMY,2024-12-24 08:00:00,1,300,6,25,,4,SCT,n,9999,,2024-12-24 12:00:00
207,SBMY,2024-12-24 11:00:00,1,323,7,28,0.3,14,BKN,s,7000,TS,2024-12-24 15:00:00
208,SBMY,2024-12-24 14:00:00,4,24,9,28,2.7,21,BKN,s,7000,TS,2024-12-24 18:00:00
209,SBMY,2024-12-24 17:00:00,3,19,12,27,2,21,BKN,s,7000,TS,2024-12-24 21:00:00
210,SBMY,2024-12-24 20:00:00,1,70,7,25,0.5,21,BKN,s,7000,TS,2024-12-25 00:00:00
211,SBMY,2024-12-24 23:00:00,3,32,5,25,,2,FEW,n,9999,,2024-12-25 03:00:00
212,SBMY,2024-12-25 02:00:00,1,344,5,25,,2,FEW,n,9999,,2024-12-25 06:00:00
213,SBMY,2024-12-25 05:00:00,1,282,3,24,,3,SCT,n,9999,,2024-12-25 09:00:00
214,SBMY,2024-12-25 08:00:00,4,23,10,26,,3,SCT,n,9999,,2024-12-25 12:00:00
215,SBMY,2024-12-25 11:00:00,2,29,11,30,0.5,21,BKN,s,7000,TS,2024-12-25 15:00:00
216,SBMY,2024-12-25 14:00:00,2,192,11,28,2.4,21,BKN,s,7000,TS,2024-12-25 18:00:00
217,SBMY,2024-12-25 17:00:00,1,48,9,27,3.7,21,BKN,s,7000,TS,2024-12-25 21:00:00
218,SBMY,2024-12-25 20:00:00,1,95,4,25,,2,FEW,n,9999,,2024-12-26 00:00:00
219,SBMY,2024-12-25 23:00:00,2,100,7,24,4.5,21,BKN,s,7000,TS,2024-12-26 03:00:00
220,SBMY,2024-12-26 02:00:00,3,40,9,24,8,21,BKN,s,7000,TS,2024-12-26 06:00:00
221,SBMY,2024-12-26 05:00:00,2,301,7,23,2.3,21,BKN,s,7000,TS,2024-12-26 09:00:00
222,SBMY,2024-12-26 08:00:00,3,21,8,25,0.5,20,BKN,n,4000,BR,2024-12-26 12:00:00
223,SBMY,2024-12-26 11:00:00,3,6,10,28,0.6,21,BKN,s,7000,TS,2024-12-26 15:00:00
224,SBMY,2024-12-26 14:00:00,2,345,12,27,3.1,21,BKN,s,7000,TS,2024-12-26 18:00:00
225,SBMY,2024-12-26 17:00:00,3,32,9,27,0.5,21,BKN,s,7000,TS,2024-12-26 21:00:00
226,SBMY,2024-12-26 20:00:00,1,228,7,25,,3,SCT,n,9999,,2024-12-27 00:00:00
227,SBMY,2024-12-26 23:00:00,0,300,5,24,0.5,21,BKN,s,7000,TS,2024-12-27 03:00:00
228,SBMY,2024-12-27 02:00:00,1,292,7,24,1.5,21,BKN,s,7000,TS,2024-12-27 06:00:00
229,SBMY,2024-12-27 05:00:00,1,325,6,24,,3,SCT,n,9999,,2024-12-27 09:00:00
230,SBMY,2024-12-27 08:00:00,2,30,6,26,,4,SCT,n,9999,,2024-12-27 12:00:00
231,SBMY,2024-12-27 11:00:00,3,333,11,28,1.8,21,BKN,s,7000,TS,2024-12-27 15:00:00
232,SBMY,2024-12-27 14:00:00,2,265,14,27,11,21,BKN,s,7000,TS,2024-12-27 18:00:00
233,SBMY,2024-12-27 17:00:00,1,270,8,26,1.2,18,SCT,n,7000,,2024-12-27 21:00:00
234,SBMY,2024-12-27 20:00:00,1,48,5,25,0.6,18,SCT,n,7000,,2024-12-28 00:00:00
235,SWPI,2024-12-22 02:00:00,2,93,4,27,,3,SCT,n,9999,,2024-12-22 06:00:00
236,SWPI,2024-12-22 05:00:00,3,109,6,26,,3,SCT,n,9999,,2024-12-22 09:00:00
237,SWPI,2024-12-22 08:00:00,4,85,9,28,,1,CAVOK,n,9999,,2024-12-22 12:00:00
238,SWPI,2024-12-22 11:00:00,8,44,17,31,,2,FEW,n,9999,,2024-12-22 15:00:00
239,SWPI,2024-12-22 14:00:00,5,51,16,33,,2,FEW,n,9999,,2024-12-22 18:00:00
240,SWPI,2024-12-22 17:00:00,5,358,11,31,,2,FEW,n,9999,,2024-12-22 21:00:00
241,SWPI,2024-12-22 20:00:00,3,75,9,28,,1,CAVOK,n,9999,,2024-12-23 00:00:00
242,SWPI,2024-12-22 23:00:00,3,84,6,27,,3,SCT,n,9999,,2024-12-23 03:00:00
